nm t_B1 t_G1 t_B2 t_G2
409 200223 188838 113346 114014
410 211768 196528 121233 121853
411 179388 175764 97992 97796
412 236051 217184 120695 120853
413 202475 208455 105165 106870
414 226149 219117 142738 141987
415 152741 151633 76119 76679
416 186276 186833 101421 102271
417 195981 193707 99251 98842
418 183950 179833 90029 90859
419 157936 156668 79713 81442
420 185312 187922 83698 84105
421 209230 203976 93977 94437
422 170373 166741 81194 79789
423 181358 175773 72657 73650
424 189733 184895 86788 87528
425 135399 135076 57274 57404
426 156377 157230 86275 86344
427 141409 141770 68601 68423
428 189860 187303 99376 99616
429 210999 198370 94244 97361
430 171784 171356 97116 99998
431 180076 173171 97799 98108
432 170805 170797 96597 96456
433 159038 160608 72126 72733
434 132915 134721 62602 62992
435 128585 129664 58697 59089
436 207366 211150 93876 94726
437 171551 168479 59352 59447
438 201240 200866 58847 59511
439 157213 156464 59211 59486
440 160736 162095 59448 59694
441 130009 130268 59041 59966
442 124197 124054 58403 58741
443 106687 107732 58829 58962
444 160291 159982 59112 59640
445 125578 125977 59126 60203
446 141018 139852 57322 57798
447 109560 109644 59295 60822
448 129960 129668 61581 60023
449 161267 166174 76747 78343
450 145143 144586 73334 73812
451 148832 148619 68263 71109
452 120647 120755 63651 63397
453 90080 91107 59838 60111
454 97341 97278 60265 61360
455 93622 93766 60149 60854
456 89271 89559 59869 60404
457 108439 108983 58191 58366
458 80807 82845 59219 59695
459 98526 98645 65440 64067
460 97858 98894 62952 62876
461 92874 93162 60087 61158
462 89181 90664 63707 63551
463 85795 85233 60556 61278
464 75898 76137 59363 59656
465 77195 78144 60438 61415
