m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
235  2.8750  2.7500  2.8750  3.0000  3.3750  3.1250  2.6250  2.8750
236  2.8750  3.2500  3.1250  3.2500  3.2500  3.1250  2.8750  3.1250
237  3.0000  2.8750  3.0000  2.8750  3.0000  2.8750  2.7500  2.7500
238  3.2500  3.2500  2.7500  3.0000  3.2500  3.1250  2.6250  2.7500
239  3.0000  3.0000  2.7500  2.3750  3.0000  2.5000  3.0000  2.7500
240  3.0000  2.8750  2.7500  2.7500  3.1250  3.5000  2.5000  3.0000
241  2.8750  3.0000  3.0000  2.6250  3.1250  3.0000  2.8750  2.6250
242  3.1250  2.8750  2.8750  2.7500  3.1250  3.5000  2.8750  2.7500
243  3.1250  2.8750  3.0000  2.5000  3.1250  3.0000  2.3750  2.6250
244  3.0000  3.1250  3.0000  2.8750  2.8750  3.2500  2.8750  2.5000
245  3.2500  2.7500  3.0000  2.7500  3.0000  3.1250  2.8750  2.6250
246  3.1250  2.7500  2.5000  2.7500  3.1250  2.6250  2.6250  3.1250
247  3.0000  2.7500  2.5000  2.1250  2.7500  2.6250  2.2500  2.5000
248  2.7500  3.0000  2.3750  2.6250  3.0000  3.0000  2.7500  2.5000
249  2.7500  3.0000  2.5000  2.8750  2.3750  2.5000  2.6250  2.8750
250  3.0000  2.7500  2.7500  2.5000  2.7500  2.3750  2.8750  2.7500
251  2.6250  2.6250  2.5000  3.0000  2.7500  2.8750  2.7500  2.5000
252  3.0000  2.5000  2.6250  2.5000  2.8750  3.1250  2.5000  2.3750
253  2.8750  3.0000  2.6250  2.7500  2.7500  2.6250  2.5000  2.8750
254  2.7143  2.7143  2.7143  2.5714  3.1429  2.5714  2.5714  3.0000
255  2.7143  3.0000  2.8571  2.8571  2.8571  2.4286  2.7143  3.0000
256  3.0000  3.1429  2.5714  2.8571  3.0000  2.8571  2.5714  2.8571
257  3.0000  2.8571  2.7143  2.8571  3.0000  3.1429  2.5714  2.5714
258  3.2857  2.8571  3.0000  2.4286  3.1429  3.1429  2.8571  2.7143
259  2.7143  2.8571  2.2857  2.7143  3.1429  3.1429  2.5714  2.2857
260  2.8571  2.8571  2.2857  2.2857  2.7143  2.7143  2.7143  2.5714
261  2.7143  3.0000  2.4286  2.5714  3.0000  3.1429  2.4286  2.5714
262  3.0000  2.5714  2.2857  2.5714  2.5714  2.8571  2.4286  2.4286
263  2.5714  3.0000  2.5714  2.7143  3.0000  3.1429  2.7143  2.8571
264  2.2857  3.0000  2.5714  2.4286  2.4286  2.5714  2.8571  2.4286
265  3.0000  2.8571  2.7143  2.4286  3.0000  2.7143  2.5714  2.7143
266  2.8571  3.0000  2.5714  2.4286  2.5714  2.7143  2.2857  2.5714
267  2.8571  2.7143  2.8571  2.5714  2.8571  2.8571  2.2857  2.7143
268  3.0000  2.5714  2.2857  2.2857  2.7143  2.7143  2.5714  2.5714
269  3.0000  3.0000  2.5714  2.5714  2.5714  2.7143  2.1429  2.2857
270  2.5714  2.7143  2.2857  2.4286  2.7143  2.5714  2.2857  2.7143
271  2.8571  2.8571  2.2857  2.7143  2.2857  2.2857  2.4286  2.7143
272  2.4286  2.4286  2.4286  2.4286  2.4286  2.5714  2.2857  2.2857
273  3.0000  2.8571  2.7143  2.7143  2.5714  3.0000  2.2857  2.7143
274  2.4286  2.5714  2.5714  2.4286  2.7143  3.0000  2.2857  2.5714
275  2.4286  2.5714  2.4286  2.7143  2.4286  2.4286  2.7143  2.5714
276  2.7143  2.7143  2.2857  2.1429  3.0000  2.4286  2.2857  2.2857
277  2.8333  2.8333  2.8333  2.6667  2.6667  2.3333  2.8333  2.6667
278  2.6667  3.0000  2.5000  2.3333  2.6667  2.5000  2.8333  2.3333
279  2.8333  2.6667  2.6667  2.8333  3.0000  2.5000  3.1667  2.5000
280  2.6667  2.8333  2.5000  2.5000  3.0000  2.6667  2.3333  2.5000
281  2.6667  3.1667  2.6667  2.8333  2.6667  2.6667  2.5000  2.5000
282  3.1667  3.3333  2.3333  2.3333  2.6667  2.5000  2.6667  2.8333
283  2.5000  2.6667  2.3333  2.1667  2.5000  3.0000  2.1667  2.5000
284  2.6667  2.8333  2.5000  2.1667  2.8333  2.8333  3.0000  2.6667
285  2.8333  3.0000  2.6667  2.3333  2.6667  2.6667  3.0000  2.6667
286  2.8333  3.0000  2.6667  2.5000  2.1667  2.5000  2.5000  2.3333
287  3.0000  2.8333  2.3333  2.1667  2.6667  2.8333  2.3333  2.6667
288  2.3333  2.6667  2.0000  2.5000  2.8333  2.5000  2.0000  2.1667
289  2.5000  2.6667  1.8333  2.1667  2.6667  2.8333  2.3333  2.5000
290  2.8333  2.5000  2.5000  2.0000  2.8333  2.6667  2.5000  2.3333
291  2.5000  2.8333  2.0000  2.1667  2.0000  2.3333  2.3333  2.3333
292  2.8333  2.6667  2.3333  2.3333  2.5000  2.1667  2.1667  2.1667
293  2.8333  3.0000  2.3333  2.5000  2.5000  2.6667  2.5000  2.1667
294  2.6667  2.1667  2.1667  2.3333  2.5000  2.8333  2.8333  2.0000
295  2.6667  2.6667  1.8333  2.1667  2.6667  2.3333  2.1667  2.3333
296  2.5000  2.3333  2.5000  2.0000  2.3333  2.1667  2.1667  2.3333
297  2.5000  2.6667  2.1667  2.1667  2.6667  2.6667  2.1667  2.3333
298  2.6667  2.1667  2.5000  2.1667  2.3333  2.5000  2.0000  2.3333
299  2.1667  2.1667  2.3333  2.3333  2.5000  2.5000  2.3333  2.1667
300  2.1667  2.5000  2.5000  2.1667  2.5000  2.3333  2.3333  2.0000
301  2.8000  2.6000  3.0000  2.2000  2.6000  2.6000  2.4000  2.4000
302  2.8000  2.4000  2.8000  3.0000  2.6000  2.4000  2.4000  2.4000
303  2.2000  2.6000  2.6000  2.6000  2.6000  2.6000  2.2000  2.4000
304  2.8000  2.6000  2.8000  2.2000  3.2000  3.2000  2.6000  2.6000
305  2.6000  2.6000  2.6000  2.4000  2.4000  3.0000  2.4000  2.2000
306  2.4000  2.6000  2.4000  2.4000  2.6000  2.8000  2.4000  2.4000
307  2.8000  2.8000  2.8000  2.4000  2.6000  3.0000  2.0000  2.4000
308  2.4000  2.2000  2.8000  1.8000  2.6000  2.6000  2.2000  2.0000
309  2.8000  2.4000  1.8000  2.0000  2.8000  2.4000  2.2000  2.2000
310  2.2000  2.4000  2.2000  2.0000  2.4000  2.0000  2.2000  2.2000
311  2.8000  2.6000  2.0000  2.6000  2.6000  2.4000  2.2000  2.2000
312  3.0000  2.6000  2.2000  2.2000  2.4000  2.6000  2.8000  2.4000
313  2.4000  1.6000  2.2000  2.0000  2.4000  2.8000  2.0000  2.2000
314  2.2000  2.4000  2.0000  1.8000  2.2000  2.0000  1.8000  2.2000
315  2.8000  2.2000  2.4000  2.0000  2.6000  2.2000  2.0000  2.2000
316  2.4000  2.2000  2.2000  2.0000  2.2000  2.2000  1.8000  2.2000
317  2.4000  2.0000  2.4000  2.0000  2.2000  2.0000  2.2000  1.8000
318  2.6000  2.2000  2.0000  2.0000  2.6000  2.2000  1.8000  1.8000
319  2.4000  3.0000  2.2000  2.0000  2.4000  2.0000  1.8000  1.6000
320  2.2000  2.2000  2.0000  2.4000  1.8000  2.0000  2.0000  2.4000
321  2.0000  2.0000  2.2000  2.2000  2.0000  2.2000  2.2000  2.0000
322  1.8000  2.0000  2.2000  1.8000  2.0000  2.2000  2.4000  1.8000
323  2.4000  2.4000  2.0000  2.2000  2.2000  2.2000  1.8000  2.0000
324  2.0000  2.4000  2.0000  1.8000  2.0000  2.4000  1.6000  2.0000
325  2.0000  2.0000  2.0000  1.8000  1.6000  2.0000  2.0000  2.2000
