n+m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
161  4.0769  4.4615  4.0769  4.3846  4.0769  4.0769  4.0769  4.0000
162  4.2308  4.6154  4.2308  4.0000  4.2308  4.6154  4.4615  4.0000
163  4.0769  4.1538  3.9231  4.3077  4.0769  4.2308  4.0769  4.0769
164  4.1538  4.3077  4.0769  4.0769  4.1538  4.3077  4.0000  4.1538
165  4.0769  4.1538  3.7692  4.0000  4.0769  4.0769  4.1538  4.0769
166  4.5385  4.4615  4.0769  4.2308  4.5385  4.6154  3.8462  3.9231
167  4.2308  4.7692  4.0000  4.3846  4.2308  3.9231  4.0769  4.1538
168  4.1538  4.4615  4.0000  4.0000  4.1538  4.2308  4.2308  4.3846
169  4.0769  4.1538  3.9231  4.0000  4.0769  3.8462  3.7692  3.8462
170  3.8462  4.1538  3.9231  3.6923  3.8462  4.3846  4.0000  3.9231
171  4.5385  3.8462  4.3077  3.7692  4.5385  4.3077  4.2308  4.0000
172  4.5000  4.3333  4.0833  4.2500  4.5000  4.2500  4.0833  4.2500
173  3.9167  4.2500  4.0833  3.8333  3.9167  4.0000  3.9167  4.3333
174  4.1667  3.8333  3.9167  4.6667  4.1667  4.3333  3.8333  3.8333
175  4.3333  4.0000  4.0000  3.9167  4.3333  4.2500  4.3333  3.6667
176  4.2500  3.9167  4.3333  4.0000  4.2500  4.3333  4.0000  4.1667
177  4.2500  4.5000  3.9167  3.7500  4.2500  4.4167  4.1667  4.1667
178  4.2500  4.6667  3.7500  3.8333  4.2500  3.9167  4.1667  3.8333
179  4.0833  3.8333  3.9167  3.6667  4.0833  4.0833  3.8333  4.4167
180  4.2500  4.1667  3.8333  3.7500  4.2500  3.8333  4.0833  4.0000
181  3.9167  4.0000  3.6667  3.9167  3.9167  4.0833  3.5833  3.8333
182  3.9167  3.8333  3.4167  3.6667  3.9167  4.2500  3.6667  3.9167
183  3.9167  4.0833  3.9167  3.8333  3.9167  4.0000  4.0833  3.6667
184  3.5833  3.6667  3.6667  3.6667  3.5833  4.0833  4.0833  3.4167
185  3.7500  4.0000  3.5000  3.8333  3.7500  4.0000  3.6667  3.3333
186  3.9167  4.0833  3.6667  3.6667  3.9167  4.0000  3.8333  3.6667
187  3.7500  4.0833  3.8333  3.7500  3.7500  3.7500  3.9167  3.9167
188  4.1667  4.0833  3.8333  3.7500  4.1667  3.8333  3.5000  3.6667
189  3.9167  3.7500  3.5833  3.6667  3.9167  3.5000  3.5833  3.2500
190  3.7500  3.9167  3.7500  3.2500  3.7500  3.5833  3.9167  3.5833
191  3.6364  4.0000  3.9091  4.0909  3.6364  3.9091  4.1818  3.9091
192  3.7273  4.0909  3.7273  3.7273  3.7273  3.4545  3.7273  4.2727
193  4.0909  3.8182  3.5455  4.0909  4.0909  3.9091  3.3636  3.5455
194  3.9091  3.7273  4.0000  3.5455  3.9091  3.9091  4.0909  4.0000
195  3.9091  3.6364  3.6364  3.6364  3.9091  4.3636  3.8182  3.7273
196  3.6364  3.8182  3.7273  3.4545  3.6364  3.7273  3.9091  3.6364
197  4.0000  3.6364  4.0000  3.8182  4.0000  3.9091  3.7273  3.1818
198  3.6364  4.0000  3.5455  4.0000  3.6364  4.0909  3.6364  3.5455
199  4.1818  4.0000  3.8182  3.4545  4.1818  4.0000  3.6364  3.3636
200  4.0000  3.5455  3.7273  3.1818  4.0000  3.7273  3.6364  3.5455
201  3.8182  3.7273  3.1818  3.3636  3.8182  3.8182  3.4545  3.4545
202  3.8182  4.0909  3.4545  3.6364  3.8182  3.8182  3.8182  3.6364
203  3.5455  3.8182  3.5455  3.4545  3.5455  4.0000  3.4545  3.4545
204  3.3636  3.8182  3.6364  3.3636  3.3636  3.4545  3.7273  3.1818
205  3.4545  3.5455  3.4545  3.4545  3.4545  3.7273  3.4545  3.6364
206  3.8182  3.9091  3.0000  3.1818  3.8182  3.6364  3.5455  3.3636
207  3.9091  3.7273  3.2727  3.5455  3.9091  3.6364  3.3636  3.1818
208  3.4545  3.4545  3.2727  3.2727  3.4545  3.4545  3.2727  3.2727
209  3.5455  4.0909  3.0000  3.0909  3.5455  3.5455  2.9091  3.2727
210  3.4545  3.8182  3.3636  3.6364  3.4545  3.4545  3.3636  3.6364
211  3.5000  3.8000  3.2000  3.6000  3.5000  3.8000  3.7000  3.7000
212  3.4000  3.5000  3.4000  3.4000  3.4000  3.7000  3.6000  3.7000
213  4.0000  3.9000  3.7000  3.1000  4.0000  3.7000  3.7000  3.3000
214  3.6000  3.6000  3.1000  3.5000  3.6000  3.6000  3.9000  3.0000
215  3.5000  3.9000  3.5000  3.2000  3.5000  3.4000  3.2000  3.6000
216  3.8000  3.8000  3.7000  3.6000  3.8000  3.6000  3.4000  3.6000
217  3.7000  3.8000  3.4000  3.6000  3.7000  4.0000  3.3000  3.4000
218  3.3000  3.8000  3.2000  3.1000  3.3000  3.5000  3.4000  3.5000
219  3.5000  3.4000  3.3000  3.5000  3.5000  3.7000  3.0000  3.6000
220  3.3000  3.5000  3.2000  3.3000  3.3000  3.8000  3.5000  3.5000
221  3.6000  3.6000  3.4000  3.2000  3.6000  3.4000  3.3000  3.5000
222  3.4000  3.2000  3.0000  3.1000  3.4000  3.7000  3.2000  3.2000
223  3.3000  3.3000  3.1000  3.3000  3.3000  3.7000  3.0000  3.4000
224  3.3000  3.7000  3.2000  3.5000  3.3000  3.6000  3.1000  3.2000
225  3.8000  3.4000  3.3000  3.5000  3.8000  3.4000  3.5000  3.1000
226  3.8000  3.3000  3.4000  3.5000  3.8000  3.3000  3.0000  3.3000
227  3.3000  3.8000  3.1000  2.9000  3.3000  3.3000  3.5000  3.4000
228  3.3000  3.4000  2.9000  3.4000  3.3000  3.4000  3.5000  3.0000
229  3.1000  3.0000  3.1000  2.9000  3.1000  3.5000  3.1000  3.0000
230  3.4000  3.5000  3.2000  2.9000  3.4000  3.2000  3.3000  3.2000
231  3.2000  3.2000  3.3000  3.0000  3.2000  3.1000  3.2000  3.3000
232  3.3333  3.7778  3.5556  3.3333  3.3333  3.4444  3.6667  3.6667
233  3.5556  3.2222  3.1111  3.1111  3.5556  3.3333  3.1111  3.6667
234  3.7778  3.7778  3.1111  3.6667  3.7778  4.2222  3.5556  3.4444
235  3.4444  3.2222  3.0000  3.0000  3.4444  3.7778  2.8889  3.2222
236  3.4444  3.2222  3.2222  3.2222  3.4444  3.4444  2.8889  2.8889
237  3.5556  3.1111  3.0000  3.2222  3.5556  3.3333  2.8889  3.1111
238  3.1111  3.3333  3.1111  3.1111  3.1111  3.4444  3.6667  3.2222
239  3.7778  3.7778  3.1111  2.7778  3.7778  3.1111  3.2222  3.1111
240  3.2222  3.0000  3.3333  3.4444  3.2222  3.3333  2.7778  2.7778
241  3.5556  3.3333  2.8889  2.6667  3.5556  3.2222  2.8889  2.8889
242  3.6667  3.3333  3.2222  3.0000  3.6667  3.2222  3.1111  2.8889
243  3.2222  3.4444  3.3333  3.1111  3.2222  3.5556  3.2222  3.0000
244  3.3333  3.0000  3.0000  3.0000  3.3333  2.8889  3.1111  3.1111
245  3.4444  3.0000  3.1111  2.8889  3.4444  3.2222  3.2222  3.2222
246  3.1111  3.2222  3.0000  2.7778  3.1111  3.2222  3.3333  2.8889
247  2.7778  3.2222  2.7778  3.0000  2.7778  3.1111  2.8889  3.0000
248  3.0000  3.3333  2.7778  3.1111  3.0000  3.1111  2.8889  2.8889
249  2.8889  2.7778  3.0000  3.1111  2.8889  3.2222  3.2222  3.1111
250  2.8889  3.2222  3.1111  3.0000  2.8889  3.1111  2.7778  3.1111
