m t_v111 t_v112 t_v121 t_v122 t_v211 t_v212 t_v221 t_v222
178  954150  960292  874506  895482  468800  476710  435948  420184
179 1002693 1022534  874031  851715  455624  505644  416448  455466
180  871228  864609  733510  736611  422025  459713  365707  379122
181  774748  773655  693612  682286  398239  396224  340810  360944
182  761136  754217  660752  665435  376294  384589  329868  323568
183  741322  757117  626913  625467  376733  379901  314214  336986
184  740720  746233  602850  606202  351364  385495  305112  317280
185  670105  697321  577860  590426  351733  343784  292094  296881
186  732946  744682  658925  713796  390133  378363  331475  336118
187  651980  660686  576781  588470  321249  327286  290192  297069
188  625857  634121  590129  590022  310955  314597  290204  296760
189  598758  611372  573360  586174  301669  302935  288470  295603
190  572413  584026  569733  585892  286391  294411  286677  293047
